SN,absmag,band,error,jd,mag,normmag,survey,trel
iPTF16asu.json,,i,0.05,57544.21,20.43,0.8599999999999994,P60,18.80999999999767
iPTF16asu.json,,i,0.06,57544.26,20.43,0.8599999999999994,P60,18.860000000000586
iPTF16asu.json,,i,0.11,57545.24,20.48,0.91,P60,19.839999999996508
iPTF16asu.json,,i,0.1,57545.25,20.46,0.8900000000000006,P60,19.84999999999855
iPTF16asu.json,,i,0.08,57546.29,20.68,1.1099999999999994,P60,20.889999999999414
iPTF16asu.json,,i,0.16,57554.25,20.82,1.25,P60,28.849999999998545
iPTF16asu.json,,i,0.12,57554.26,20.73,1.16,P60,28.860000000000586
iPTF16asu.json,,i,0.16,57587.89,23.07,3.5,TNG,62.489999999997956
iPTF16asu.json,,u,0.14,57527.29,19.6,0.0,Swift,0.0
iPTF16asu.json,,r,0.09,57527.33,19.6,0.0,P60,0.0
iPTF16asu.json,,r,0.07,57535.32,20.19,0.5899999999999999,P60,7.989999999997963
iPTF16asu.json,,r,0.04,57540.27,20.34,0.7399999999999984,P60,12.939999999995052
iPTF16asu.json,,r,0.07,57541.18,20.36,0.7599999999999979,P60,13.849999999998545
iPTF16asu.json,,r,0.12,57541.18,20.4,0.7999999999999972,P60,13.849999999998545
iPTF16asu.json,,r,0.05,57544.19,20.55,0.9499999999999992,P60,16.860000000000582
iPTF16asu.json,,r,0.04,57544.25,20.55,0.9499999999999992,P60,16.919999999998254
iPTF16asu.json,,r,0.03,57544.26,20.37,0.7699999999999996,P60,16.930000000000287
iPTF16asu.json,,r,0.09,57545.23,20.61,1.009999999999998,P60,17.90000000000145
iPTF16asu.json,,r,0.07,57545.23,20.65,1.0499999999999972,P60,17.90000000000145
iPTF16asu.json,,r,0.05,57546.29,20.64,1.0399999999999991,P60,18.95999999999913
iPTF16asu.json,,r,0.13,57551.32,20.89,1.2899999999999991,P60,23.989999999997963
iPTF16asu.json,,r,0.15,57554.24,21.09,1.4899999999999984,P60,26.909999999996213
iPTF16asu.json,,r,0.12,57554.25,21.0,1.3999999999999986,P60,26.91999999999825
iPTF16asu.json,,r,0.2,57570.22,21.73,2.129999999999999,P60,42.889999999999425
iPTF16asu.json,,r,0.14,57573.21,22.06,2.4599999999999973,P60,45.87999999999739
iPTF16asu.json,,r,0.15,57587.9,23.01,3.41,TNG,60.569999999999716
PS1-11qr,-18.2,g,,55629.3,23.64,2.59,PS1,-24.099999999998545
PS1-11qr,-16.0,g,,55632.3,23.54,2.4899999999999984,PS1,-21.09999999999855
PS1-11qr,-13.7,g,,55635.3,23.3,2.25,PS1,-18.09999999999855
PS1-11qr,-6.8,g,,55644.4,21.83,0.7799999999999976,PS1,-9.0
PS1-11qr,-2.3,g,0.04,55650.4,21.49,0.4399999999999977,PS1,-3.0
PS1-11qr,0.0,g,0.03,55653.4,21.05,0.0,PS1,0.0
PS1-11qr,6.7,g,0.08,55662.3,21.89,0.8399999999999999,PS1,8.900000000001455
PS1-11qr,15.8,g,0.16,55674.3,23.23,2.18,PS1,20.90000000000145
PS1-11qr,18.0,g,,55677.3,23.61,2.5599999999999987,PS1,23.900000000001448
PS1-11qr,20.3,g,,55680.3,23.35,2.3000000000000007,PS1,26.900000000001448
PS1-11qr,-18.2,r,,55629.3,23.74,2.43,PS1,-24.099999999998545
PS1-11qr,-15.9,r,,55632.3,23.75,2.4400000000000013,PS1,-21.09999999999855
PS1-11qr,-13.7,r,,55635.3,23.94,2.6300000000000026,PS1,-18.09999999999855
PS1-11qr,-2.2,r,0.06,55650.4,21.6,0.2900000000000027,PS1,-3.0
PS1-11qr,0.0,r,0.06,55653.4,21.31,0.0,PS1,0.0
PS1-11qr,6.7,r,0.07,55662.3,21.77,0.4600000000000009,PS1,8.900000000001455
PS1-11qr,15.8,r,0.14,55674.3,23.1,1.7900000000000027,PS1,20.90000000000145
PS1-11qr,18.0,r,0.18,55677.3,23.28,1.9700000000000024,PS1,23.900000000001448
PS1-11qr,-15.2,i,,55633.3,24.02,2.629999999999999,PS1,-21.0
PS1-11qr,-6.1,i,,55645.3,23.99,2.599999999999998,PS1,-9.0
PS1-11qr,-1.5,i,0.09,55651.4,21.73,0.33999999999999986,PS1,-2.9000000000014547
PS1-11qr,0.7,i,0.04,55654.3,21.39,0.0,PS1,0.0
PS1-11qr,14.3,i,0.14,55672.3,23.21,1.8200000000000005,PS1,18.0
PS1-11qr,16.5,i,0.18,55675.3,23.53,2.140000000000001,PS1,21.0
