6.12,12.95,0.06,6.26,12.96,0.10,9.18,14.03,0.06
9.17,14.00,0.06,6.65,12.98,0.07,9.16,13.81,0.06
10.11,14.06,0.06,8.37,13.45,0.07,10.18,14.00,0.06
10.17,14.05,0.06,9.17,14.08,0.07,11.24,14.27,0.06
11.23,14.35,0.06,8.23,13.45,0.07,12.75,14.51,0.07
12.36,14.45,0.13,9.11,13.85,0.07,12.95,14.61,0.07
12.37,14.46,0.06,10.17,14.07,0.07,12.96,14.60,0.06
12.95,14.52,0.06,11.24,14.42,0.07,14.29,14.83,0.07
14.08,14.73,0.06,12.09,14.48,0.08,15.22,15.03,0.07
14.28,14.73,0.06,12.11,14.59,0.08,16.36,15.33,0.07
14.28,14.79,0.06,12.36,14.47,0.08,16.94,15.43,0.07
15.21,14.93,0.07,12.36,14.44,0.14,16.64,15.32,0.07
16.35,15.25,0.07,12.77,14.50,0.08,18.35,15.72,0.08
16.63,15.32,0.07,12.96,14.58,0.07,20.82,15.88,0.09
17.77,15.48,0.06,14.29,14.83,0.07,21.34,16.11,0.09
18.34,15.59,0.07,15.16,15.09,0.08,21.73,16.06,0.08
20.20,15.68,0.07,15.21,15.05,0.07,22.72,16.17,0.08
21.33,15.90,0.08,16.21,15.28,0.08,23.79,16.25,0.09
21.72,16.00,0.08,16.22,15.32,0.10,24.78,16.36,0.10
22.25,15.99,0.08,16.35,15.32,0.08,25.28,16.62,0.10
22.32,16.05,0.08,16.36,15.38,0.08,25.72,16.61,0.10
22.71,16.08,0.08,16.96,15.49,0.09,26.32,16.70,0.10
23.79,16.03,0.08,16.64,15.42,0.08,27.02,16.68,0.09
24.77,16.21,0.08,17.82,15.77,0.10,29.32,17.06,0.14
25.79,16.54,0.07,18.34,15.78,0.08,31.10,17.12,0.10
27.01,16.64,0.08,18.84,15.79,0.09,27.98,16.72,0.08
30.22,16.80,0.11,19.76,15.80,0.08,34.82,17.29,0.10
29.38,16.76,0.09,19.77,15.82,0.09,33.50,17.14,0.10
31.08,16.90,0.09,20.20,15.82,0.08,38.82,17.46,0.12
27.97,16.63,0.08,20.84,16.03,0.09,38.46,17.30,0.13
34.16,17.11,0.09,21.34,16.02,0.08,36.81,17.22,0.11
34.15,17.14,0.07,21.72,16.13,0.08,41.72,17.54,0.12
33.48,16.98,0.09,22.30,16.21,0.09,40.73,17.71,0.14
38.46,17.15,0.12,23.37,16.25,0.09,39.93,17.69,0.12
36.79,17.15,0.10,22.72,16.32,0.08,45.44,17.72,0.13
34.80,17.06,0.09,23.79,16.26,0.08,43.78,17.74,0.12
40.73,17.44,0.12,24.78,16.46,0.09,47.96,17.69,0.17
39.92,17.39,0.11,26.02,16.73,0.08,46.93,17.70,0.12
38.82,17.20,0.10,27.01,16.78,0.08,46.50,17.59,0.12
43.77,17.51,0.11,29.31,16.92,0.10,54.46,17.92,0.21
42.80,17.60,0.25,31.09,17.00,0.09,52.28,17.88,0.11
41.71,17.45,0.11,27.97,16.73,0.08,49.95,17.62,0.12
47.22,17.73,0.09,33.49,17.17,0.09,60.14,17.98,0.11
45.43,17.43,0.11,38.69,17.39,0.09,57.71,18.02,0.16
49.94,17.66,0.10,36.80,17.28,0.09,55.83,18.04,0.13
55.42,17.89,0.11,34.81,17.23,0.09,--,--
55.82,17.82,0.12,39.92,17.41,0.10,--,--
58.84,17.95,0.10,43.78,17.58,0.10,--,--
--,--,41.71,17.48,0.10,--,--
--,--,40.73,17.44,0.10,--,--
--,--,46.76,17.69,0.09,--,--
--,--,45.43,17.58,0.10,--,--
--,--,49.95,17.73,0.09,--,--
--,--,47.96,17.62,0.13,--,--
--,--,55.82,17.86,0.11,--,--
--,--,54.46,17.68,0.16,--,--
--,--,52.27,17.81,0.09,--,--
--,--,60.14,18.00,0.10,--,--
--,--,57.71,18.11,0.15,--,--
