event,time,magnitude,e_magnitude,upperlimit,band,system,instrument,telescope,source
GW170817,57983.9640,18.22,0.08,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57983.968,18.431,0.057,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.968,18.23,0.04,F,w,AB,Sinistro,LCO 1m,2017arXiv171005843A
GW170817,57983.9687,18.16,0.05,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57983.96875,17.64,0.08,F,H,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57983.96875,17.58,0.07,F,J,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57983.96875,17.85,0.15,F,K,AB,GROND,LaSilla,"2017arXiv171011576V,2017arXiv171005841S"
GW170817,57983.96875,18.49,0.04,F,g,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57983.96875,17.85,0.05,F,i,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57983.96875,17.99,0.01,F,r,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57983.96875,17.72,0.03,F,z,AB,GROND,LaSilla,2017arXiv171005841S
GW170817,57983.969,17.69,0.02,F,r,AB,FORS,VLT,2017ApJ...848L..27T
GW170817,57983.9701,18.13,0.08,F,V,AB,EFOSC2,NTT,2017Sci...358.1570D
GW170817,57983.972,17.88,0.10,F,i,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57983.9737,18.507,0.039,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9748,18.481,0.037,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9759,18.615,0.043,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.976,17.98,0.08,F,r,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57983.976350699995,17.3152541007,0.025659540104609996,F,Y,AB,DECam,,2017ApJ...848L..17C
GW170817,57983.9768,17.62,0.06,F,z,AB,LDSS,Magellan,2017Sci...358.1570D
GW170817,57983.9770265,17.592973982,0.02197152849233,F,z,AB,DECam,,2017ApJ...848L..17C
GW170817,57983.9771,17.925,0.022,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.97771490001,17.7848867885,0.02151655145699,F,i,AB,DECam,,2017ApJ...848L..17C
