# phase     R^true_U     R^true_B     R^true_V     R^true_R     R^true_I
   63.0     4.720322     4.017326     3.102116     2.550707     1.893692
   64.0     4.720392     4.017731     3.103418     2.549944     1.891140
   65.0     4.720462     4.019347     3.105326     2.551509     1.890357
   66.0     4.720532     4.022033     3.107906     2.554777     1.892149
   67.0     4.720602     4.024386     3.110333     2.558355     1.894212
   68.0     4.720672     4.025318     3.112048     2.560694     1.895190
   69.0     4.720742     4.025706     3.113502     2.563033     1.896167
   70.0     4.720813     4.025646     3.114740     2.565372     1.897145
   71.0     4.720883     4.025548     3.115344     2.567411     1.897711
   72.0     4.720953     4.025274     3.116737     2.569524     1.898380
   73.0     4.721023     4.024946     3.118677     2.572005     1.899552
   74.0     4.721093     4.024214     3.120723     2.575062     1.901511
   75.0     4.721163     4.023013     3.122600     2.578820     1.904429
   76.0     4.721233     4.021332     3.124089     2.583322     1.908363
   77.0     4.721304     4.019214     3.125025     2.588524     1.913256
   78.0     4.721374     4.016195     3.124909     2.594799     1.919239
   79.0     4.721444     4.013121     3.124168     2.601317     1.925649
   80.0     4.721514     4.010735     3.123178     2.607303     1.931791
   81.0     4.721584     4.009680     3.122259     2.612036     1.936943
   82.0     4.721654     4.009871     3.122936     2.615611     1.941388
   83.0     4.721724     4.011441     3.124570     2.617956     1.945085
   84.0     4.721795     4.014913     3.127564     2.619428     1.948285
   85.0     4.721865     4.019304     3.131185     2.619877     1.950853
   86.0     4.721935     4.023646     3.134720     2.619369     1.952795
   87.0     4.722005     4.026982     3.137475     2.618191     1.954262
   88.0     4.722081     4.028118     3.138609     2.616558     1.955526
   89.0     4.722156     4.027837     3.138655     2.614292     1.956278
   90.0     4.722223     4.026460     3.137837     2.611709     1.956566
   91.0     4.722279     4.024406     3.136463     2.609125     1.956489
   92.0     4.722321     4.022194     3.134919     2.606859     1.956199
   93.0     4.722349     4.020438     3.133674     2.605227     1.955903
   94.0     4.722363     4.019852     3.133275     2.604545     1.955859
   95.0     4.722366     4.019736     3.133196     2.604411     1.955851
   96.0     4.722362     4.019920     3.133321     2.604625     1.955865
   97.0     4.722356     4.020165     3.133488     2.604910     1.955883
   98.0     4.722356     4.020165     3.133488     2.604910     1.955883
   99.0     4.722356     4.020165     3.133488     2.604910     1.955883
  100.0     4.722356     4.020165     3.133488     2.604910     1.955883
