time-rel              g              r              i              z
  64.944  14.4482319481  14.5012243236  14.7029908298  14.7741945991
  65.444  14.4381726017  14.4914808153  14.6932231735   14.764415518
  65.944  14.4282609909  14.4818733877  14.6835906566  14.7547711308
  66.444  14.4184927113   14.472397143  14.6740889538  14.7452573833
  66.944  14.4088633582  14.4630471834  14.6647137401  14.7358702214
  67.444  14.3993685273  14.4538186111  14.6554606904  14.7266055909
  67.944   14.390003814  14.4447065283  14.6463254796  14.7174594378
  68.444  14.3807648139  14.4357060373  14.6373037826  14.7084277079
  68.944  14.3716471224  14.4268122402  14.6283912743   14.699506347
  69.444  14.3626463352  14.4180202392  14.6195836297   14.690691301
  69.944  14.3537580476  14.4093251366  14.6108765236  14.6819785158
  70.444  14.3449778552  14.4007220345  14.6022656309  14.6733639372
  70.944  14.3363013536  14.3922060351  14.5937466265  14.6648435111
  71.444  14.3277241382  14.3837722407  14.5853151854  14.6564131834
  71.944  14.3192418045  14.3754157534  14.5769669825     14.6480689
  72.444   14.310849948  14.3671316755  14.5686976926  14.6398066066
  72.944  14.3025441644  14.3589151091  14.5605029907  14.6316222492
  73.444   14.294320049  14.3507611565  14.5523785516  14.6235117736
  73.944  14.2861731974  14.3426649198  14.5443200504  14.6154711257
  74.444  14.2780992051  14.3346215013  14.5363231618  14.6074962514
  74.944  14.2700936676  14.3266260032  14.5283835608  14.5995830965
  75.444  14.2621521805  14.3186735276  14.5204969224  14.5917276069
  75.944  14.2542703391  14.3107591768  14.5126589213  14.5839257284
  76.444  14.2464437392   14.302878053  14.5048652326  14.5761734069
  76.944   14.238667976  14.2950252584   14.497111531  14.5684665884
  77.444  14.2309386453  14.2871958951  14.4893934916  14.5608012185
  77.944  14.2232513424  14.2793850654  14.4817067893  14.5531732433
  78.444   14.215601663  14.2715878715  14.4740470989  14.5455786085
  78.944  14.2079852024  14.2637994156  14.4664100953  14.5380132601
  79.444  14.2003975562  14.2560147999  14.4587914535  14.5304731438
  79.944    14.19283432  14.2482291266  14.4511868483  14.5229542057
  80.444  14.1852910893  14.2404374979  14.4435919548  14.5154523914
  80.944  14.1777634595   14.232635016  14.4360024477   14.507963647
  81.444  14.1702470261  14.2248167831   14.428414002  14.5004839182
  81.944  14.1627373847  14.2169779014  14.4208222925  14.4930091509
  82.444  14.1552301309  14.2091134731  14.4132229943   14.485535291
  82.944    14.14772086  14.2012186004  14.4056117822  14.4780582843
  83.444  14.1402051676  14.1932883855   14.397984331  14.4705740768
  83.944  14.1326786493  14.1853179307  14.3903363158  14.4630786142
  84.444  14.1251369005  14.1773023381  14.3826634115  14.4555678425
  84.944  14.1175755167  14.1692367099  14.3749612928  14.4480377075
  85.444  14.1099900935  14.1611161483  14.3672256348  14.4404841551
  85.944  14.1023762264  14.1529357556  14.3594521123   14.432903131
  86.444  14.0947295109  14.1446906339  14.3516364003  14.4252905813
  86.944  14.0870455425  14.1363758855  14.3437741737  14.4176424518
  87.444  14.0793199166  14.1279866125  14.3358611073  14.4099546883
  87.944  14.0715482289  14.1195179171  14.3278928761  14.4022232366
  88.444  14.0637260749  14.1109649016  14.3198651549  14.3944440428
  88.944  14.0558490499  14.1023226682  14.3117736187  14.3866130525
  89.444  14.0479127497   14.093586319  14.3036139425  14.3787262117
  89.944  14.0399127696  14.0847509562   14.295381801  14.3707794663
  90.444  14.0318447051  14.0758116821  14.2870728692  14.3627687621
  90.944  14.0237041519  14.0667635989  14.2786828221  14.3546900449
  91.444  14.0154867054  14.0576018088  14.2702073344  14.3465392608
  91.944  14.0071879611  14.0483214139  14.2616420812  14.3383123554
  92.444  13.9988035145  14.0389175165  14.2529827373  14.3300052746
  92.944  13.9903289612  14.0293852187  14.2442249777  14.3216139645
  93.444  13.9817598966  14.0197196229  14.2353644772  14.3131343707
  93.944  13.9730919162  14.0099158311  14.2263969107  14.3045624391
  94.444  13.9643206157  13.9999689456  14.2173179533  14.2958941157
  94.944  13.9554415904  13.9898740687  14.2081232796  14.2871253463
  95.444  13.9464504359  13.9796263024  14.1988085648  14.2782520768
  95.944  13.9373427478   13.969220749  14.1893694836  14.2692702529
  96.444  13.9281141214  13.9586525107   14.179801711  14.2601758207
  96.944  13.9187601524  13.9479166896  14.1701009219  14.2509647259
  97.444  13.9092764363  13.9370083882  14.1602627912  14.2416329144
  97.944  13.8996585685  13.9259227084  14.1502829938  14.2321763321
  98.444  13.8899021446  13.9146547525  14.1401572046  14.2225909248
  98.944    13.88000276  13.9031996227  14.1298810986  14.2128726384
  99.444  13.8699560104  13.8915524213  14.1194503505  14.2030174188
  99.944  13.8597574911  13.8797082504  14.1088606354  14.1930212119
 100.444  13.8494027978  13.8676622121  14.0981076282  14.1828799634
 100.944  13.8388875259  13.8554094089  14.0871870036  14.1725896193
 101.444  13.8282072709  13.8429449427  14.0760944368  14.1621461254
 101.944  13.8173576284  13.8302639159  14.0648256025  14.1515454276
 102.444  13.8063341939  13.8173614306  14.0533761756  14.1407834718
 102.944  13.7951325628  13.8042325891  14.0417418312  14.1298562038
 103.444  13.7837483308  13.7908724935   14.029918244  14.1187595694
 103.944  13.7721770932  13.7772762461   14.017901089  14.1074895146
 104.444  13.7604144456   13.763438949  14.0056860411  14.0960419853
 104.944  13.7484559836  13.7493557044  13.9932687751  14.0844129272
 105.444  13.7362973026  13.7350216146  13.9806449661  14.0725982862
