time-rel               g               i
   65.14  -16.0551797932  -15.9301409535
   65.64  -16.0408753962  -15.9216394079
   66.14  -16.0267726353  -15.9132892417
   66.64  -16.0128714222  -15.9050903509
   67.14  -15.9991716688  -15.8970426317
   67.64  -15.9856732868  -15.8891459802
   68.14  -15.9723761881  -15.8814002927
   68.64  -15.9592802844  -15.8738054653
   69.14  -15.9463854875  -15.8663613942
   69.64  -15.9336917093  -15.8590679754
   70.14  -15.9211988615  -15.8519251053
   70.64  -15.9089068559  -15.8449326799
   71.14  -15.8968156044  -15.8380905953
   71.64  -15.8849250186  -15.8313987479
   72.14  -15.8732350105  -15.8248570336
   72.64  -15.8617454918  -15.8184653488
   73.14  -15.8504563743  -15.8122235894
   73.64  -15.8393675698  -15.8061316518
   74.14    -15.82847899  -15.8001894321
   74.64  -15.8177905469  -15.7943968264
   75.14  -15.8073021522  -15.7887537309
   75.64  -15.7970137176  -15.7832600417
   76.14  -15.7869251551   -15.777915655
   76.64  -15.7770363763  -15.7727204671
   77.14  -15.7673472931  -15.7676743739
   77.64  -15.7578578173  -15.7627772718
   78.14  -15.7485678606  -15.7580290568
   78.64  -15.7394773349  -15.7534296251
   79.14   -15.730586152  -15.7489788729
   79.64  -15.7218942236  -15.7446766964
   80.14  -15.7134014616  -15.7405229916
   80.64  -15.7051077777  -15.7365176549
   81.14  -15.6970130838  -15.7326605822
   81.64  -15.6891172916  -15.7289516699
   82.14  -15.6814203129   -15.725390814
   82.64  -15.6739220596  -15.7219779107
   83.14  -15.6666224435  -15.7187128562
   83.64  -15.6595213762  -15.7155955466
   84.14  -15.6526187697  -15.7126258781
   84.64  -15.6459145357  -15.7098037468
   85.14   -15.639408586   -15.707129049
   85.64  -15.6331008325  -15.7046016808
   86.14  -15.6269911868  -15.7022215383
   86.64  -15.6210795609  -15.6999885177
   87.14  -15.6153658664  -15.6979025152
   87.64  -15.6098500153  -15.6959634269
   88.14  -15.6045319193   -15.694171149
   88.64  -15.5994114901  -15.6925255776
   89.14  -15.5944886396   -15.691026609
   89.64  -15.5897632797  -15.6896741392
   90.14   -15.585235322  -15.6884680645
   90.64  -15.5809046784  -15.6874082809
   91.14  -15.5767712606  -15.6864946847
   91.64  -15.5728349805   -15.685727172
   92.14  -15.5690957499   -15.685105639
   92.64  -15.5655534806  -15.6846299819
   93.14  -15.5622080843  -15.6843000967
   93.64  -15.5590594729  -15.6841158797
   94.14  -15.5561075581   -15.684077227
   94.64  -15.5533522518  -15.6841840348
   95.14  -15.5507934658  -15.6844361993
   95.64  -15.5484311117  -15.6848336166
   96.14  -15.5462651015  -15.6853761828
   96.64   -15.544295347  -15.6860637942
   97.14  -15.5425217599  -15.6868963469
   97.64   -15.540944252   -15.687873737
   98.14  -15.5395627351  -15.6889958607
   98.64   -15.538377121  -15.6902626142
   99.14  -15.5373873216  -15.6916738937
   99.64  -15.5365932486  -15.6932295952
  100.14  -15.5359948138   -15.694929615
  100.64   -15.535591929  -15.6967738492
  101.14  -15.5353845059  -15.6987621941
  101.64  -15.5353724565  -15.7008945456
  102.14  -15.5355556925  -15.7031708001
  102.64  -15.5359341257  -15.7055908536
  103.14  -15.5365076679  -15.7081546024
  103.64  -15.5372762308  -15.7108619426
  104.14  -15.5382397264  -15.7137127703
  104.64  -15.5393980663  -15.7167069817
  105.14  -15.5407511624   -15.719844473
  105.64  -15.5422989264  -15.7231251403
  106.14  -15.5440412702  -15.7265488799
  106.64  -15.5459781056  -15.7301155878
  107.14  -15.5481093443  -15.7338251602
  107.64  -15.5504348982  -15.7376774933
  108.14  -15.5529546791  -15.7416724832
  108.64  -15.5556685987  -15.7458100262
  109.14  -15.5585765688  -15.7500900183
  109.64  -15.5616785013  -15.7545123557
  110.14  -15.5649743079  -15.7590769346
  110.64  -15.5684639005  -15.7637836512
  111.14  -15.5721471908  -15.7686324016
  111.64  -15.5760240906   -15.773623082
  112.14  -15.5800945117  -15.7787555885
  112.64  -15.5843583659  -15.7840298173
  113.14  -15.5888155651  -15.7894456645
  113.64   -15.593466021  -15.7950030264
  114.14  -15.5983096454  -15.8007017991
  114.64    -15.60334635  -15.8065418787
  115.14  -15.6085760468  -15.8125231614
  115.64  -15.6139986475  -15.8186455433
  116.14  -15.6196140639  -15.8249089207
  116.64  -15.6254222078  -15.8313131897
