time-rel              g              r              i              z
    54.0      21.268878  21.4934703536  21.7277957663  21.9236969608
    54.5  21.2710951667  21.4951314132  21.7291249016  21.9248297807
    55.0  21.2733123333  21.4967924729  21.7304540369  21.9259626006
    55.5     21.2755295  21.4984535326  21.7317831722  21.9270954204
    56.0  21.2777466667  21.5001145923  21.7331123075  21.9282282403
    56.5  21.2799638333  21.5017756519  21.7344414428  21.9293610602
    57.0      21.282181  21.5034367116  21.7357705782    21.93049388
    57.5  21.2843981667  21.5050977713  21.7370997135  21.9316266999
    58.0  21.2866153333  21.5067588309  21.7384288488  21.9327595198
    58.5     21.2888325  21.5084198906  21.7397579841  21.9338923397
    59.0  21.2910496667  21.5100809503  21.7410871194  21.9350251595
    59.5  21.2932668333  21.5117420099  21.7424162547  21.9361579794
    60.0      21.295484  21.5134030696    21.74374539  21.9372907993
    60.5  21.2978154583  21.5151923239  21.7452108859  21.9385649084
    61.0  21.3001469167  21.5169815781  21.7466763818  21.9398390175
    61.5   21.302478375  21.5187708324  21.7481418777  21.9411131266
    62.0  21.3048098333  21.5205600866  21.7496073735  21.9423872358
    62.5  21.3071412917  21.5223493409  21.7510728694  21.9436613449
    63.0    21.30947275  21.5241385952  21.7525383653   21.944935454
    63.5  21.3118042083  21.5259278494  21.7540038612  21.9462095631
    64.0  21.3141356667  21.5277171037  21.7554693571  21.9474836722
    64.5   21.316467125  21.5295063579   21.756934853  21.9487577814
    65.0  21.3187985833  21.5312956122  21.7584003489  21.9500318905
    65.5  21.3211300417  21.5330848665  21.7598658448  21.9513059996
    66.0     21.3234615  21.5348741207  21.7613313407  21.9525801087
    66.5  21.3257929583   21.536663375  21.7627968366  21.9538542178
    67.0  21.3281244167  21.5384526292  21.7642623324   21.955128327
    67.5   21.330455875  21.5402418835  21.7657278283  21.9564024361
    68.0  21.3327873333  21.5420311378  21.7671933242  21.9576765452
    68.5  21.3351187917   21.543820392  21.7686588201  21.9589506543
    69.0    21.33745025  21.5456096463   21.770124316  21.9602247634
    69.5  21.3397817083  21.5473989005  21.7715898119  21.9614988726
    70.0  21.3421131667  21.5491881548  21.7730553078  21.9627729817
    70.5   21.344444625  21.5509774091  21.7745208037  21.9640470908
    71.0  21.3467760833  21.5527666633  21.7759862996  21.9653211999
    71.5  21.3491075417  21.5545559176  21.7774517955   21.966595309
    72.0      21.351439  21.5563451718  21.7789172913  21.9678694182
    72.5  21.3538971667  21.5582805816  21.7805404326  21.9693079963
    73.0  21.3563553333  21.5602159914  21.7821635739  21.9707465744
    73.5     21.3588135  21.5621514011  21.7837867152  21.9721851526
    74.0  21.3612716667  21.5640868109  21.7854098565  21.9736237307
    74.5  21.3637298333  21.5660222207  21.7870329978  21.9750623088
    75.0      21.366188  21.5679576304  21.7886561391   21.976500887
    75.5  21.3686461667  21.5698930402  21.7902792804  21.9779394651
    76.0  21.3711043333    21.57182845  21.7919024217  21.9793780432
    76.5     21.3735625  21.5737638597   21.793525563  21.9808166214
    77.0  21.3760206667  21.5756992695  21.7951487043  21.9822551995
    77.5  21.3784788333  21.5776346793  21.7967718456  21.9836937776
    78.0      21.380937   21.579570089  21.7983949868  21.9851323558
    78.5  21.3833951667  21.5815054988  21.8000181281  21.9865709339
    79.0  21.3858533333  21.5834409086  21.8016412694   21.988009512
    79.5     21.3883115  21.5853763183  21.8032644107  21.9894480902
    80.0  21.3907696667  21.5873117281   21.804887552  21.9908866683
    80.5  21.3932278333  21.5892471379  21.8065106933  21.9923252464
    81.0      21.395686  21.5911825476  21.8081338346  21.9937638246
    81.5  21.3981441667  21.5931179574  21.8097569759  21.9952024027
    82.0  21.4006023333  21.5950533671  21.8113801172  21.9966409808
    82.5     21.4030605  21.5969887769  21.8130032585   21.998079559
    83.0  21.4055186667  21.5989241867  21.8146263998  21.9995181371
    83.5  21.4079768333  21.6008595964  21.8162495411  22.0009567152
    84.0      21.410435  21.6027950062  21.8178726823  22.0023952934
    84.5  21.4130344583   21.604898209  21.8196793188  22.0040266624
    85.0  21.4156339167  21.6070014119  21.8214859554  22.0056580314
    85.5   21.418233375  21.6091046147  21.8232925919  22.0072894004
    86.0  21.4208328333  21.6112078175  21.8250992284  22.0089207694
    86.5  21.4234322917  21.6133110203  21.8269058649  22.0105521384
    87.0    21.42603175  21.6154142232  21.8287125014  22.0121835074
    87.5  21.4286312083   21.617517426  21.8305191379  22.0138148764
    88.0  21.4312306667  21.6196206288  21.8323257744  22.0154462454
    88.5   21.433830125  21.6217238316  21.8341324109  22.0170776144
    89.0  21.4364295833  21.6238270345  21.8359390474  22.0187089834
    89.5  21.4390290417  21.6259302373  21.8377456839  22.0203403524
