time-rel               g               r               i               z
  32.872         -17.246   -16.949600349  -16.6646025641  -16.5540204121
  33.372  -17.2436744966  -16.9539633508  -16.6654038462  -16.5531365733
  33.872  -17.2390604027  -16.9567575758  -16.6662051282  -16.5529949542
  34.372  -17.2344463087  -16.9559601276  -16.6670064103  -16.5545526275
  34.872  -17.2298322148  -16.9551626794  -16.6678076923  -16.5561103008
  35.372  -17.2252181208  -16.9543652313  -16.6686089744  -16.5576679741
  35.872  -17.2206040268  -16.9535677831  -16.6694102564  -16.5592256474
  36.372  -17.2159899329  -16.9527703349  -16.6702115385  -16.5607833207
  36.872  -17.2106134122  -16.9519728868  -16.6710128205   -16.562340994
  37.372  -17.2038333333  -16.9511754386  -16.6718141026  -16.5638986673
  37.872  -17.1970532544  -16.9503779904  -16.6690687023  -16.5602316519
  38.372  -17.1902731755  -16.9495805423  -16.6652519084  -16.5549863451
  38.872  -17.1834930966  -16.9471369863  -16.6614351145  -16.5505198449
  39.372  -17.1767130178  -16.9402876712  -16.6576183206  -16.5481377974
  39.872  -17.1699329389  -16.9334383562  -16.6538015267    -16.54575575
  40.372    -17.16315286  -16.9265890411  -16.6499847328  -16.5433737025
  40.872  -17.1539217877   -16.919739726  -16.6447346939  -16.5388803131
  41.372  -17.1369292365   -16.912890411  -16.6379319728  -16.5320996365
  41.872  -17.1199366853  -16.9060410959  -16.6311292517    -16.52531896
  42.372  -17.1029441341  -16.8971718062  -16.6243265306  -16.5194939738
  42.872  -17.0859515829   -16.882671072  -16.6175238095  -16.5163333367
  43.372  -17.0689590317  -16.8681703377  -16.6107210884  -16.5131726996
  43.872  -17.0519664804  -16.8536696035  -16.6039183673  -16.5100120625
  44.372  -17.0349739292  -16.8391688693  -16.5955833333  -16.5045941446
  44.872   -17.017981378  -16.8246681351  -16.5851666667  -16.4961097319
  45.372        -16.9985  -16.8101674009       -16.57475  -16.4876253193
  45.872  -16.9776666667  -16.7956666667  -16.5643333333  -16.4791409067
  46.372  -16.9568333333  -16.7811659325  -16.5539166667   -16.470656494
  46.872         -16.936  -16.7666651982  -16.5412777778  -16.4588984814
  47.372  -16.9151666667   -16.752164464  -16.5242473545  -16.4406712116
  47.872  -16.8943333333  -16.7361532977  -16.5072169312  -16.4231585575
  48.372  -16.8721328671  -16.7175481283  -16.4901865079  -16.4068731781
  48.872  -16.8488228438   -16.698942959  -16.4731560847  -16.3905877987
  49.372  -16.8255128205  -16.6803377897  -16.4561256614  -16.3743024192
  49.872  -16.8022027972  -16.6617326203  -16.4410434783  -16.3608870314
  50.372  -16.7788927739   -16.643127451  -16.4307777778  -16.3545669004
  50.872  -16.7555827506  -16.6245222816  -16.4205120773  -16.3482467694
  51.372  -16.7322727273  -16.6059171123  -16.4102463768  -16.3419266384
  51.872  -16.7107728395   -16.587311943  -16.3999806763  -16.3356065075
  52.372  -16.6900938272  -16.5683473193  -16.3897149758  -16.3294564415
  52.872  -16.6694148148  -16.5488251748  -16.3794492754  -16.3235701498
  53.372  -16.6487358025  -16.5293030303  -16.3644876957  -16.3107662647
  53.872  -16.6280567901  -16.5097808858  -16.3471498881  -16.2944619105
  54.372  -16.6073777778  -16.4902587413  -16.3298120805  -16.2781575564
  54.872  -16.5858943894  -16.4707365967  -16.3124742729  -16.2618532023
  55.372  -16.5613481848  -16.4512144522  -16.2951364653  -16.2455488482
  55.872  -16.5368019802  -16.4331843972  -16.2777986577  -16.2285385567
  56.372  -16.5122557756  -16.4164881797  -16.2604608501     -16.2108972
  56.872   -16.487709571  -16.3997919622  -16.2423681592  -16.1921438095
  57.372  -16.4636071429  -16.3830957447  -16.2235559701   -16.172330512
  57.872  -16.4402936508  -16.3663995272  -16.2047437811  -16.1525172145
  58.372  -16.4169801587  -16.3497033097   -16.185931592   -16.132703917
  58.872  -16.3936666667  -16.3330070922   -16.167119403  -16.1128906195
  59.372  -16.3703531746  -16.3135685279  -16.1483072139  -16.0943747811
  59.872  -16.3470396825  -16.2932639594  -16.1293730159  -16.0760889327
  60.372        -16.3219  -16.2729593909  -16.1090357143  -16.0557361444
  60.872  -16.2927333333  -16.2526548223  -16.0886984127  -16.0353833562
  61.372  -16.2635666667  -16.2323502538  -16.0683611111  -16.0150305679
  61.872        -16.2344  -16.2120456853  -16.0480238095  -15.9946777797
  62.372  -16.2052333333  -16.1917411168  -16.0276865079  -15.9743249914
