time-rel              g              r              i              z
   -66.5  22.3637743333  22.6562106634  22.9310182241  23.1508897717
   -66.0      22.335941   22.628028098  22.9026272611  23.1223752108
   -65.5  22.3081076667  22.5998455326  22.8742362981  23.0938606499
   -65.0  22.2802743333  22.5716629672  22.8458453351   23.065346089
   -64.5      22.252441  22.5434804018  22.8174543721  23.0368315282
   -64.0  22.2246076667  22.5152978364  22.7890634091  23.0083169673
   -63.5  22.1967743333   22.487115271  22.7606724461  22.9798024064
   -63.0      22.168941  22.4589327056  22.7322814831  22.9512878455
   -62.5  22.1411076667  22.4307501402  22.7038905201  22.9227732847
   -62.0  22.1132743333  22.4025675748  22.6754995572  22.8942587238
   -61.5      22.085441  22.3743850094  22.6471085942  22.8657441629
   -61.0  22.0576076667   22.346202444  22.6187176312   22.837229602
   -60.5  22.0297743333  22.3180198786  22.5903266682  22.8087150411
   -60.0      22.001941  22.2898373132  22.5619357052  22.7802004803
   -59.5    21.97625175  22.2637851824  22.5356670586   22.753803464
   -59.0     21.9505625  22.2377330517  22.5093984119  22.7274064478
   -58.5    21.92487325  22.2116809209  22.4831297653  22.7010094315
   -58.0      21.899184  22.1856287902  22.4568611186  22.6746124153
   -57.5    21.87349475  22.1595766594   22.430592472   22.648215399
   -57.0     21.8478055  22.1335245287  22.4043238253  22.6218183828
   -56.5    21.82211625  22.1074723979  22.3780551787  22.5954213665
   -56.0      21.796427  22.0814202672  22.3517865321  22.5690243503
   -55.5    21.77073775  22.0553681364  22.3255178854  22.5426273341
   -55.0     21.7450485  22.0293160057  22.2992492388  22.5162303178
   -54.5    21.71935925  22.0032638749  22.2729805921  22.4898333016
   -54.0       21.69367  21.9772117442  22.2467119455  22.4634362853
   -53.5    21.66798075  21.9511596134  22.2204432988  22.4370392691
   -53.0     21.6422915  21.9251074827  22.1941746522  22.4106422528
   -52.5    21.61660225  21.8990553519  22.1679060056  22.3842452366
   -52.0      21.590913  21.8730032212  22.1416373589  22.3578482203
   -51.5    21.56522375  21.8469510904  22.1153687123  22.3314512041
   -51.0     21.5395345  21.8208989597  22.0891000656  22.3050541878
   -50.5    21.51384525  21.7948468289   22.062831419  22.2786571716
   -50.0      21.488156  21.7687946982  22.0365627723  22.2522601554
   -49.5    21.46246675  21.7427425674  22.0102941257  22.2258631391
   -49.0     21.4367775  21.7166904367  21.9840254791  22.1994661229
   -48.5    21.41108825  21.6906383059  21.9577568324  22.1730691066
   -48.0      21.385399  21.6645861752  21.9314881858  22.1466720904
   -47.5  21.3691151667  21.6479252541   21.914602274  22.1296528657
   -47.0  21.3528313333   21.631264333  21.8977163622  22.1126336411
   -46.5     21.3365475   21.614603412  21.8808304503  22.0956144165
   -46.0  21.3202636667  21.5979424909  21.8639445385  22.0785951919
   -45.5  21.3039798333  21.5812815698  21.8470586267  22.0615759672
   -45.0      21.287696  21.5646206488  21.8301727149  22.0445567426
   -44.5  21.2714121667  21.5479597277  21.8132868031   22.027537518
   -44.0  21.2551283333  21.5312988066  21.7964008913  22.0105182933
   -43.5     21.2388445  21.5146378855  21.7795149795  21.9934990687
   -43.0  21.2225606667  21.4979769645  21.7626290677  21.9764798441
   -42.5  21.2062768333  21.4813160434  21.7457431559  21.9594606195
   -42.0      21.189993  21.4646551223  21.7288572441  21.9424413948
   -41.5  21.1737091667  21.4479942013  21.7119713323  21.9254221702
   -41.0  21.1574253333  21.4313332802  21.6950854205  21.9084029456
   -40.5     21.1411415  21.4146723591  21.6781995087  21.8913837209
   -40.0  21.1248576667  21.3980114381  21.6613135968  21.8743644963
   -39.5  21.1085738333   21.381350517   21.644427685  21.8573452717
   -39.0       21.09229  21.3646895959  21.6275417732   21.840326047
   -38.5  21.0760061667  21.3480286749  21.6106558614  21.8233068224
   -38.0  21.0597223333  21.3313677538  21.5937699496  21.8062875978
   -37.5     21.0434385  21.3147068327  21.5768840378  21.7892683732
   -37.0  21.0271546667  21.2980459116   21.559998126  21.7722491485
   -36.5  21.0108708333  21.2813849906  21.5431122142  21.7552299239
   -36.0      20.994587  21.2647240695  21.5262263024  21.7382106993
   -35.5    20.98263825   21.252383498  21.5136519131  21.7254979003
   -35.0     20.9706895  21.2400429264  21.5010775239  21.7127851013
