time,band,flux,fluxerr,zp,zpsys,mag
5.300000000000001,desr,83396982597.93753,288784.9518774826,50.0,ab,0.014186386920140848
5.399999999999999,desr,83295370675.22552,288609.18710167194,50.0,ab,0.015510067998750543
5.5,desr,83189270902.27983,288425.5927732388,50.0,ab,0.01689393595567168
5.600000000000001,desr,83078445493.61371,288234.27813474135,50.0,ab,0.01834132669422317
5.699999999999999,desr,82964898147.70007,288035.3520922883,50.0,ab,0.019826270094256415
5.800000000000001,desr,82845691713.32874,287828.9232434263,50.0,ab,0.02138740999544453
5.899999999999999,desr,82722174421.88799,287615.09990460746,50.0,ab,0.023007376758808817
6.0,desr,82595173828.59233,287393.9901382535,50.0,ab,0.02467555218929718
6.100000000000001,desr,82464377279.80052,287165.70177943376,50.0,ab,0.026396271496373913
6.200000000000003,desr,82329348719.67696,286930.34246217104,50.0,ab,0.028175531335580928
6.299999999999997,desr,82189819337.5458,286688.0196453895,50.0,ab,0.030017166446164367
6.399999999999999,desr,82047385292.12097,286438.8406385228,50.0,ab,0.031900367503162386
6.5,desr,81900677442.00621,286182.9126267903,50.0,ab,0.03384349588481328
6.600000000000001,desr,81750267771.5264,285920.342696157,50.0,ab,0.035839271351374435
6.700000000000003,desr,81596666141.3909,285651.23785799055,50.0,ab,0.0378811939771424
6.799999999999997,desr,81439204657.095,285374.9556861963,50.0,ab,0.03997842186539202
6.899999999999999,desr,81276873815.21,285090.90125342994,50.0,ab,0.04214475394897832
7.0,desr,81110886167.45874,284799.2528338423,50.0,ab,0.04436436534692234
7.100000000000001,desr,80940491112.4887,284500.1888148636,50.0,ab,0.046647643052796894
7.200000000000003,desr,80765957705.5259,284193.8877448929,50.0,ab,0.048991362970568275
7.299999999999997,desr,80588362284.93954,283880.52838022367,50.0,ab,0.05138140565185978
7.399999999999999,desr,80406319739.57466,283560.28973122564,50.0,ab,0.05383676956897432
7.5,desr,80221365682.2724,283233.351107794,50.0,ab,0.0563371032374782
7.600000000000001,desr,80032185766.93692,282899.89216407744,50.0,ab,0.05890053570870535
7.700000000000003,desr,79839957508.09201,282560.0929424979,50.0,ab,0.06151148814243612
7.799999999999997,desr,79645214481.11487,282214.1339170651,50.0,ab,0.06416301564763316
7.899999999999999,desr,79445927718.30533,281862.1960359953,50.0,ab,0.06688312895744986
8.0,desr,79244985800.6826,281504.4607636375,50.0,ab,0.06963275118574686
8.100000000000001,desr,79040301815.25505,281141.11012170644,50.0,ab,0.0724407561586915
8.200000000000003,desr,78832155564.64998,280770.555437159,50.0,ab,0.07530372611386227
8.299999999999997,desr,78619538821.9915,280391.45098272304,50.0,ab,0.0782360011389791
8.399999999999999,desr,78402411541.34918,280004.3452745776,50.0,ab,0.0812386781448673
8.5,desr,78181572518.63919,279609.78914712055,50.0,ab,0.08430122739340362
8.600000000000001,desr,77957894528.79257,279208.3359214321,50.0,ab,0.08741197783345811
8.700000000000003,desr,77729761679.03543,278800.5415652215,50.0,ab,0.09059389061689416
8.799999999999997,desr,77499495996.4103,278386.964844074,50.0,ab,0.0938150355925238
8.899999999999999,desr,77266350828.4122,277968.16746379726,50.0,ab,0.09708622683448809
9.0,desr,77031007102.8194,277544.71420363995,50.0,ab,0.10039829134440836
9.100000000000001,desr,76793841078.86017,277117.17304012977,50.0,ab,0.10374625424937634
9.200000000000003,desr,76554957220.607,276686.11526125163,50.0,ab,0.1071289356438605
9.299999999999997,desr,76315472433.84042,276252.1155706685,50.0,ab,0.11053073829176796
9.399999999999999,desr,76074522033.80392,275815.7521816639,50.0,ab,0.1139641499378925
9.5,desr,75832633385.88995,275377.6069004622,50.0,ab,0.11742188678780252
9.600000000000001,desr,75589951856.05489,274936.32045145944,50.0,ab,0.1209020591589649
9.700000000000003,desr,75345157032.09676,274490.26979245286,50.0,ab,0.12442387509836195
9.799999999999997,desr,75097958046.15977,274039.6445549654,50.0,ab,0.12799190983650632
9.899999999999999,desr,74848612592.36911,273584.6353839534,50.0,ab,0.13160284451886284
10.0,desr,74597606685.99731,273125.4339774293,50.0,ab,0.13524999541682448
10.100000000000001,desr,74344362109.38692,272662.2331253917,50.0,ab,0.13894213232993735
10.200000000000003,desr,74090047880.54893,272195.2267480424,50.0,ab,0.14266254238618714
10.299999999999997,desr,73834125472.59647,271724.6099332669,50.0,ab,0.1464193928706088
10.399999999999999,desr,73576715450.91531,271250.57897334965,50.0,ab,0.15021123968897498
10.5,desr,73318179623.05705,270773.3314008984,50.0,ab,0.15403304708708276
10.600000000000001,desr,73058197787.21313,270293.06602394517,50.0,ab,0.15788984411359408
10.700000000000003,desr,72797367514.07376,269809.98296019004,50.0,ab,0.1617730442114116
10.799999999999997,desr,72534915362.60138,269324.28367035347,50.0,ab,0.16569445942616312
10.899999999999999,desr,72273176016.24188,268836.1709905982,50.0,ab,0.16961938090425122
11.0,desr,72009339015.34355,268345.20046877227,50.0,ab,0.17359016978683428
11.100000000000001,desr,71744236545.6,267850.8115192812,50.0,ab,0.17759468479859564
