time-rel	g	r	i
23.0	16.389297289586306	16.13341642891108	16.204216904422253
23.5	16.389664621968617	16.13328417736567	16.203932489301
24.0	16.390031954350928	16.133151925820258	16.203648074179743
24.5	16.39039928673324	16.133019674274845	16.20336365905849
25.0	16.39076661911555	16.132887422729436	16.203079243937232
25.5	16.39113395149786	16.132755171184023	16.20279482881598
26.0	16.39150128388017	16.132622919638614	16.20251041369472
26.5	16.39186861626248	16.1324906680932	16.202225998573468
27.0	16.392235948644792	16.13235841654779	16.20194158345221
27.5	16.392603281027107	16.13222616500238	16.201657168330957
28.0	16.392970613409418	16.132093913456966	16.2013727532097
28.5	16.39333794579173	16.131961661911557	16.201088338088447
29.0	16.39370527817404	16.131829410366144	16.20080392296719
29.5	16.39407261055635	16.13169715882073	16.200519507845936
30.0	16.39443994293866	16.131564907275322	16.20023509272468
30.5	16.39480727532097	16.13143265572991	16.19995067760342
31.0	16.395174607703282	16.1313004041845	16.199666262482168
31.5	16.395541940085593	16.131168152639088	16.19938184736091
32.0	16.395909272467904	16.131035901093675	16.199097432239657
32.5	16.396276604850215	16.130903649548266	16.1988130171184
33.0	16.396643937232525	16.130771398002853	16.198528601997147
33.5	16.397011269614836	16.13063914645744	16.19824418687589
34.0	16.397378601997147	16.13050689491203	16.197959771754636
34.5	16.397745934379458	16.13037464336662	16.19767535663338
35.0	16.39811326676177	16.13024239182121	16.197390941512126
35.5	16.398480599144083	16.130110140275796	16.19710652639087
36.0	16.398847931526394	16.129977888730384	16.196822111269615
36.5	16.399215263908705	16.129845637184975	16.196537696148358
37.0	16.399582596291015	16.129713385639562	16.196253281027104
37.5	16.399949928673326	16.129581134094153	16.195968865905847
38.0	16.400317261055637	16.12944888254874	16.195684450784594
38.5	16.400684593437948	16.129316631003327	16.195400035663337
39.0	16.40105192582026	16.129184379457918	16.195115620542083
39.5	16.40141925820257	16.129052127912505	16.194831205420826
40.0	16.40178659058488	16.128919876367096	16.194546790299572
40.5	16.40215392296719	16.128787624821683	16.194262375178315
41.0	16.4025212553495	16.12865537327627	16.19397796005706
41.5	16.402888587731812	16.12852312173086	16.193693544935805
42.0	16.403255920114123	16.12839087018545	16.19340912981455
42.5	16.403623252496434	16.12825861864004	16.193124714693294
43.0	16.40399058487875	16.128126367094627	16.19284029957204
43.5	16.40435791726106	16.127994115549214	16.192555884450783
44.0	16.40472524964337	16.127861864003805	16.19227146932953
44.5	16.40509258202568	16.127729612458392	16.191987054208273
45.0	16.40545991440799	16.127597360912983	16.19170263908702
45.5	16.405827246790302	16.12746510936757	16.191418223965762
46.0	16.406194579172613	16.127332857822157	16.191133808844505
46.5	16.406561911554924	16.127200606276748	16.19084939372325
47.0	16.406929243937235	16.127068354731335	16.190564978601994
47.5	16.407296576319546	16.126936103185926	16.19028056348074
48.0	16.407663908701856	16.126803851640513	16.189996148359484
48.5	16.408031241084167	16.1266716000951	16.18971173323823
49.0	16.408398573466478	16.12653934854969	16.189427318116973
49.5	16.40876590584879	16.12640709700428	16.18914290299572
50.0	16.4091332382311	16.12627484545887	16.188858487874462
50.5	16.40950057061341	16.126142593913457	16.18857407275321
51.0	16.409867902995725	16.126010342368044	16.18828965763195
51.5	16.410235235378035	16.125878090822635	16.188005242510698
52.0	16.410602567760346	16.125745839277222	16.18772082738944
52.5	16.410969900142657	16.12561358773181	16.187436412268188
53.0	16.411337232524968	16.1254813361864	16.18715199714693
53.5	16.41170456490728	16.125349084640987	16.186867582025677
54.0	16.41207189728959	16.12521683309558	16.18658316690442
54.5	16.4124392296719	16.125084581550166	16.186298751783166
55.0	16.41280656205421	16.124952330004753	16.18601433666191
55.5	16.41317389443652	16.124820078459344	16.185729921540656
56.0	16.413541226818833	16.12468782691393	16.1854455064194
56.5	16.413908559201143	16.12455557536852	16.185161091298145
57.0	16.414275891583454	16.12442332382311	16.184876676176888
57.5	16.414643223965765	16.124291072277696	16.184592261055634
58.0	16.415010556348076	16.124158820732287	16.184307845934377
58.5	16.415377888730387	16.124026569186874	16.184023430813124
59.0	16.4157452211127	16.123894317641465	16.183739015691867
59.5	16.41611255349501	16.123762066096052	16.183454600570613
60.0	16.416479885877322	16.12362981455064	16.183170185449356
60.5	16.416847218259633	16.12349756300523	16.182885770328102
61.0	16.417214550641944	16.123365311459818	16.182601355206845
61.5	16.417581883024255	16.12323305991441	16.182316940085588
62.0	16.417949215406566	16.123100808368996	16.182032524964335
62.5	16.418316547788876	16.122968556823583	16.181748109843078
63.0	16.418683880171187	16.122836305278174	16.181463694721824
63.5	16.419051212553498	16.12270405373276	16.181179279600567
64.0	16.41941854493581	16.122571802187352	16.180894864479313
64.5	16.41978587731812	16.12243955064194	16.180610449358056
65.0	16.42015320970043	16.122307299096526	16.180326034236803
65.5	16.42052054208274	16.122175047551117	16.180041619115546
66.0	16.420887874465052	16.122042796005704	16.179757203994292
66.5	16.421255206847366	16.121910544460295	16.179472788873035
67.0	16.421622539229677	16.121778292914883	16.17918837375178
67.5	16.421989871611988	16.12164604136947	16.178903958630524
68.0	16.4223572039943	16.12151378982406	16.17861954350927
68.5	16.42272453637661	16.121381538278648	16.178335128388014
69.0	16.42309186875892	16.12124928673324	16.17805071326676
69.5	16.42345920114123	16.121117035187826	16.177766298145503
70.0	16.423826533523542	16.120984783642413	16.17748188302425
70.5	16.424193865905853	16.120852532097004	16.177197467902992
71.0	16.424561198288163	16.12072028055159	16.17691305278174
71.5	16.424928530670474	16.120588029006182	16.17662863766048
72.0	16.425295863052785	16.12045577746077	16.176344222539228
72.5	16.425663195435096	16.120323525915357	16.17605980741797
73.0	16.426030527817407	16.120191274369947	16.175775392296718
73.5	16.426397860199717	16.120059022824535	16.17549097717546
74.0	16.426765192582028	16.119926771279122	16.175206562054207
74.5	16.427132524964343	16.119794519733713	16.17492214693295
75.0	16.427499857346653	16.1196622681883	16.174637731811696
75.5	16.427867189728964	16.11953001664289	16.17435331669044
76.0	16.428234522111275	16.119397765097478	16.174068901569186
76.5	16.428601854493586	16.119265513552065	16.17378448644793
77.0	16.428969186875896	16.119133262006656	16.17350007132667
77.5	16.429336519258207	16.119001010461243	16.173215656205418
78.0	16.429703851640518	16.118868758915834	16.17293124108416
78.5	16.43007118402283	16.11873650737042	16.172646825962907
79.0	16.43043851640514	16.11860425582501	16.17236241084165
79.5	16.43080584878745	16.1184720042796	16.172077995720397
80.0	16.43117318116976	16.118339752734187	16.17179358059914
80.5	16.431540513552072	16.118207501188778	16.171509165477886
81.0	16.431907845934383	16.118075249643365	16.17122475035663
81.5	16.432275178316694	16.117942998097952	16.170940335235375
82.0	16.432642510699008	16.117810746552543	16.17065592011412
82.5	16.43300984308132	16.11767849500713	16.170371504992865
83.0	16.43337717546363	16.11754624346172	16.170087089871608
83.5	16.43374450784594	16.117413991916308	16.169802674750354
84.0	16.43411184022825	16.117281740370895	16.169518259629097
84.5	16.434479172610562	16.117149488825486	16.169233844507843
85.0	16.434846504992873	16.117017237280074	16.168949429386586
85.5	16.435213837375183	16.116884985734664	16.168665014265333
86.0	16.435581169757494	16.11675273418925	16.168380599144076
86.5	16.435948502139805	16.11662048264384	16.168096184022822
87.0	16.436315834522116	16.11648823109843	16.167811768901565
87.5	16.436683166904427	16.116355979553017	16.16752735378031
88.0	16.437050499286737	16.116223728007608	16.167242938659054
88.5	16.43741783166905	16.116091476462195	16.1669585235378
89.0	16.43778516405136	16.115959224916782	16.166674108416544
89.5	16.43815249643367	16.115826973371373	16.16638969329529
90.0	16.438519828815984	16.11569472182596	16.166105278174033
90.5	16.438887161198295	16.11556247028055	16.16582086305278
91.0	16.439254493580606	16.11543021873514	16.165536447931522
91.5	16.439621825962917	16.115297967189726	16.165252032810265
92.0	16.439989158345227	16.115165715644316	16.164967617689012
92.5	16.440356490727538	16.115033464098904	16.164683202567755
93.0	16.44072382310985	16.114901212553495	16.1643987874465
93.5	16.44109115549216	16.11476896100808	16.164114372325244
94.0	16.44145848787447	16.11463670946267	16.16382995720399
94.5	16.44182582025678	16.11450445791726	16.163545542082733
95.0	16.442193152639092	16.114372206371847	16.16326112696148
95.5	16.442560485021403	16.114239954826434	16.162976711840223
96.0	16.442927817403714	16.114107703281025	16.16269229671897
96.5	16.443295149786024	16.113975451735612	16.162407881597712
97.0	16.443662482168335	16.113843200190203	16.16212346647646
97.5	16.444029814550646	16.11371094864479	16.1618390513552
98.0	16.44439714693296	16.113578697099378	16.161554636233948
98.5	16.44476447931527	16.11344644555397	16.16127022111269
99.0	16.445131811697582	16.113314194008556	16.160985805991437
99.5	16.445499144079893	16.113181942463147	16.16070139087018
100.0	16.445866476462204	16.113049690917734	16.160416975748927
100.5	16.446233808844514	16.11291743937232	16.16013256062767
101.0	16.446601141226825	16.112785187826912	16.159848145506416
101.5	16.446968473609136	16.1126529362815	16.15956373038516
102.0	16.447335805991447	16.11252068473609	16.159279315263905
102.5	16.447703138373758	16.112388433190677	16.15899490014265
103.0	16.44807047075607	16.112256181645265	16.158710485021395
103.5	16.44843780313838	16.112123930099855	16.158426069900138
104.0	16.44880513552069	16.111991678554443	16.158141654778884
104.5	16.449172467903	16.111859427009033	16.157857239657627
105.0	16.44953980028531	16.11172717546362	16.157572824536373
105.5	16.449907132667626	16.111594923918208	16.157288409415116
106.0	16.450274465049937	16.1114626723728	16.157003994293863
106.5	16.450641797432247	16.111330420827386	16.156719579172606
107.0	16.451009129814558	16.111198169281977	16.15643516405135
107.5	16.45137646219687	16.111065917736564	16.156150748930095
108.0	16.45174379457918	16.11093366619115	16.155866333808838
108.5	16.45211112696149	16.110801414645742	16.155581918687584
109.0	16.4524784593438	16.11066916310033	16.155297503566327
109.5	16.452845791726112	16.11053691155492	16.155013088445074
110.0	16.453213124108423	16.110404660009507	16.154728673323817
110.5	16.453580456490734	16.110272408464095	16.154444258202563
111.0	16.453947788873045	16.110140156918686	16.154159843081306
111.5	16.454315121255355	16.110007905373273	16.153875427960052
112.0	16.454682453637666	16.109875653827864	16.153591012838795
112.5	16.455049786019977	16.10974340228245	16.153306597717542
113.0	16.455417118402288	16.109611150737038	16.153022182596285
113.5	16.455784450784602	16.10947889919163	16.15273776747503
114.0	16.456151783166913	16.109346647646216	16.152453352353774
114.5	16.456519115549224	16.109214396100803	16.15216893723252
115.0	16.456886447931534	16.109082144555394	16.151884522111263
115.5	16.457253780313845	16.10894989300998	16.15160010699001
116.0	16.457621112696156	16.108817641464572	16.151315691868753
116.5	16.457988445078467	16.10868538991916	16.1510312767475
117.0	16.458355777460778	16.108553138373747	16.150746861626242
117.5	16.45872310984309	16.108420886828338	16.15046244650499
118.0	16.4590904422254	16.108288635282925	16.15017803138373
118.5	16.45945777460771	16.108156383737516	16.149893616262478
119.0	16.45982510699002	16.108024132192103	16.14960920114122
119.5	16.46019243937233	16.10789188064669	16.149324786019967
120.0	16.460559771754642	16.10775962910128	16.14904037089871
120.5	16.460927104136953	16.10762737755587	16.148755955777457
121.0	16.461294436519264	16.10749512601046	16.1484715406562
121.5	16.46166176890158	16.107362874465046	16.148187125534946
122.0	16.46202910128389	16.107230622919634	16.14790271041369
122.5	16.4623964336662	16.107098371374224	16.147618295292432
123.0	16.46276376604851	16.10696611982881	16.14733388017118
123.5	16.46313109843082	16.106833868283402	16.14704946504992
124.0	16.463498430813132	16.10670161673799	16.146765049928668
124.5	16.463865763195443	16.106569365192577	16.14648063480741
125.0	16.464233095577754	16.106437113647168	16.146196219686157
125.5	16.464600427960065	16.106304862101755	16.1459118045649
126.0	16.464967760342375	16.106172610556346	16.145627389443646
126.5	16.465335092724686	16.106040359010933	16.14534297432239
127.0	16.465702425106997	16.10590810746552	16.145058559201136
127.5	16.466069757489308	16.10577585592011	16.14477414407988
128.0	16.46643708987162	16.1056436043747	16.144489728958625
128.5	16.46680442225393	16.10551135282929	16.144205313837368
129.0	16.467171754636244	16.105379101283877	16.143920898716114
129.5	16.467539087018555	16.105246849738464	16.143636483594857
130.0	16.467906419400865	16.105114598193055	16.143352068473604
130.5	16.468273751783176	16.104982346647642	16.143067653352347
131.0	16.468641084165487	16.104850095102233	16.142783238231093
131.5	16.469008416547798	16.10471784355682	16.142498823109836
132.0	16.46937574893011	16.104585592011407	16.142214407988583
132.5	16.46974308131242	16.104453340465998	16.141929992867325
133.0	16.47011041369473	16.104321088920585	16.141645577746072
133.5	16.47047774607704	16.104188837375176	16.141361162624815
134.0	16.47084507845935	16.104056585829763	16.14107674750356
134.5	16.471212410841662	16.10392433428435	16.140792332382304
135.0	16.471579743223973	16.10379208273894	16.14050791726105
135.5	16.471947075606284	16.10365983119353	16.140223502139794
136.0	16.472314407988595	16.103527579648116	16.13993908701854
136.5	16.472681740370906	16.103395328102707	16.139654671897283
137.0	16.47304907275322	16.103263076557294	16.139370256776026
137.5	16.47341640513553	16.103130825011885	16.139085841654772
138.0	16.47378373751784	16.102998573466472	16.138801426533515
138.5	16.474151069900152	16.10286632192106	16.13851701141226
139.0	16.474518402282463	16.10273407037565	16.138232596291004
139.5	16.474885734664774	16.102601818830237	16.13794818116975
140.0	16.475253067047085	16.102469567284828	16.137663766048494
140.5	16.475620399429395	16.102337315739415	16.13737935092724
141.0	16.475987731811706	16.102205064194003	16.137094935805983
141.5	16.476355064194017	16.102072812648593	16.13681052068473
142.0	16.476722396576328	16.10194056110318	16.136526105563473
142.5	16.47708972895864	16.10180830955777	16.13624169044222
143.0	16.47745706134095	16.10167605801236	16.135957275320962
143.5	16.47782439372326	16.101543806466946	16.13567286019971
144.0	16.47819172610557	16.101411554921537	16.13538844507845
144.5	16.478559058487885	16.101279303376124	16.135104029957198
145.0	16.478926390870196	16.101147051830715	16.13481961483594
145.5	16.479293723252507	16.101014800285302	16.134535199714687
146.0	16.479661055634818	16.10088254873989	16.13425078459343
146.5	16.48002838801713	16.10075029719448	16.133966369472176
147.0	16.48039572039944	16.100618045649068	16.13368195435092
147.5	16.48076305278175	16.10048579410366	16.133397539229666
148.0	16.48113038516406	16.100353542558246	16.13311312410841
148.5	16.48149771754637	16.100221291012833	16.132828708987155
149.0	16.481865049928683	16.100089039467424	16.132544293865898
149.5	16.482232382310993	16.09995678792201	16.132259878744645
150.0	16.482599714693304	16.0998245363766	16.131975463623387
150.5	16.482967047075615	16.09969228483119	16.131691048502134
151.0	16.483334379457926	16.099560033285776	16.131406633380877
151.5	16.483701711840236	16.099427781740367	16.131122218259623
152.0	16.484069044222547	16.099295530194954	16.130837803138366
152.5	16.48443637660486	16.099163278649545	16.13055338801711
153.0	16.484803708987172	16.099031027104132	16.130268972895855
