time-rel	g	r	i
1414.5	17.202723019801972	16.406715594059403	16.321411138613854
1415.0	17.203529537953788	16.40736947194719	16.322473432343227
1415.5	17.204336056105603	16.40802334983498	16.3235357260726
1416.0	17.20514257425742	16.40867722772277	16.32459801980197
1416.5	17.205949092409234	16.40933110561056	16.325660313531344
1417.0	17.20675561056105	16.409984983498347	16.32672260726072
1417.5	17.207562128712866	16.410638861386136	16.327784900990093
1418.0	17.20836864686468	16.411292739273925	16.328847194719465
1418.5	17.209175165016497	16.411946617161714	16.329909488448838
1419.0	17.209981683168312	16.412600495049503	16.33097178217821
1419.5	17.210788201320128	16.413254372937292	16.332034075907586
1420.0	17.211594719471943	16.41390825082508	16.33309636963696
1420.5	17.21240123762376	16.41456212871287	16.33415866336633
1421.0	17.213207755775574	16.41521600660066	16.335220957095704
1421.5	17.21401427392739	16.415869884488448	16.336283250825076
1422.0	17.214820792079205	16.416523762376237	16.337345544554452
1422.5	17.21562731023102	16.417177640264025	16.338407838283825
1423.0	17.216433828382833	16.417831518151814	16.339470132013197
1423.5	17.21724034653465	16.418485396039603	16.34053242574257
1424.0	17.218046864686464	16.419139273927392	16.341594719471942
1424.5	17.21885338283828	16.41979315181518	16.34265701320132
1425.0	17.219659900990095	16.42044702970297	16.34371930693069
1425.5	17.22046641914191	16.42110090759076	16.344781600660063
1426.0	17.221272937293726	16.421754785478548	16.345843894389436
1426.5	17.22207945544554	16.422408663366337	16.34690618811881
1427.0	17.222885973597357	16.423062541254126	16.347968481848184
1427.5	17.223692491749173	16.423716419141915	16.349030775577557
1428.0	17.22449900990099	16.424370297029704	16.35009306930693
1428.5	17.225305528052804	16.425024174917493	16.351155363036302
1429.0	17.22611204620462	16.42567805280528	16.352217656765674
1429.5	17.226918564356435	16.42633193069307	16.35327995049505
1430.0	17.22772508250825	16.42698580858086	16.354342244224423
1430.5	17.228531600660066	16.42763968646865	16.355404537953795
1431.0	17.22933811881188	16.428293564356437	16.356466831683168
1431.5	17.230144636963697	16.428947442244226	16.35752912541254
1432.0	17.230951155115513	16.429601320132015	16.358591419141916
1432.5	17.231757673267328	16.430255198019804	16.35965371287129
1433.0	17.232564191419144	16.430909075907593	16.36071600660066
1433.5	17.23337070957096	16.431562953795382	16.361778300330034
1434.0	17.234177227722775	16.43221683168317	16.362840594059406
1434.5	17.23498374587459	16.43287070957096	16.363902887788782
1435.0	17.235790264026406	16.43352458745875	16.364965181518155
1435.5	17.236596782178218	16.434178465346537	16.366027475247527
1436.0	17.237403300330033	16.434832343234326	16.3670897689769
1436.5	17.23820981848185	16.435486221122115	16.368152062706272
1437.0	17.239016336633664	16.436140099009904	16.36921435643565
1437.5	17.23982285478548	16.436793976897693	16.37027665016502
1438.0	17.240629372937295	16.437447854785482	16.371338943894393
1438.5	17.24143589108911	16.43810173267327	16.372401237623766
1439.0	17.242242409240927	16.43875561056106	16.37346353135314
1439.5	17.243048927392742	16.43940948844885	16.374525825082515
1440.0	17.243855445544558	16.440063366336638	16.375588118811887
1440.5	17.244661963696373	16.440717244224427	16.37665041254126
1441.0	17.24546848184819	16.441371122112216	16.377712706270632
1441.5	17.246275000000004	16.442025000000005	16.378775000000005
1442.0	17.24708151815182	16.442678877887793	16.37983729372938
1442.5	17.247888036303635	16.443332755775582	16.380899587458753
1443.0	17.24869455445545	16.44398663366337	16.381961881188126
1443.5	17.249501072607266	16.44464051155116	16.383024174917498
1444.0	17.250307590759082	16.44529438943895	16.38408646864687
1444.5	17.251114108910897	16.445948267326738	16.385148762376247
1445.0	17.251920627062713	16.446602145214527	16.38621105610562
1445.5	17.25272714521453	16.447256023102316	16.38727334983499
1446.0	17.253533663366344	16.447909900990105	16.388335643564364
1446.5	17.25434018151816	16.448563778877894	16.389397937293737
1447.0	17.255146699669975	16.449217656765683	16.390460231023113
1447.5	17.25595321782179	16.44987153465347	16.391522524752485
1448.0	17.256759735973603	16.45052541254126	16.392584818481858
1448.5	17.25756625412542	16.45117929042905	16.39364711221123
1449.0	17.258372772277234	16.45183316831684	16.394709405940603
1449.5	17.25917929042905	16.452487046204627	16.39577169966998
1450.0	17.259985808580865	16.453140924092416	16.39683399339935
1450.5	17.26079232673268	16.453794801980205	16.397896287128724
1451.0	17.261598844884496	16.454448679867994	16.398958580858096
1451.5	17.26240536303631	16.455102557755783	16.40002087458747
1452.0	17.263211881188127	16.455756435643572	16.401083168316845
1452.5	17.264018399339943	16.45641031353136	16.402145462046217
