#Combined snIa Template with 6ms Kasen Models
#Days 	 g-band MS 	 r-band MS 	 i-band
3.3	3.77486297991	9.33267463123	9.83805694859 
3.4	3.79555890093	9.49514066943	9.91237618165 
3.48796477495	3.81422995422	9.62629641646	9.96942021481 
3.5	3.81865885014	9.64424097362	9.97722490455 
3.6	3.8660213855	9.77707682271	10.0425218164 
3.7	3.93240776394	9.90055177862	10.1390725939 
3.8	4.02498550389	10.0297318013	10.2744278838 
3.9	4.13605462229	10.15994943	10.4368281255 
3.91849315068	4.15651184506	10.1825694937	10.4704307539 
4.0	4.24667516024	10.2822653299	10.6252607168 
4.1	4.35313235143	10.3909027613	10.8333111217 
4.2	4.46028995792	10.4907682494	10.9975953833 
4.3	4.56211979835	10.5973726491	11.1183886791 
4.34902152642	4.60390248292	10.6559620171	11.1750108083 
4.4	4.63204161856	10.716890282	11.2338933018 
4.5	4.66957887657	10.838794699	11.3791670777 
4.6	4.69950173151	10.9881476704	11.5634337907 
4.7	4.73548756701	11.1405067708	11.7749328928 
4.8	4.78377823537	11.2992771208	12.0037734459 
4.9	4.84375570007	11.4615291492	12.2387351249 
5.0	4.91313397976	11.6278226638	12.4593448285 
5.1	4.98038884546	11.8052607584	12.6513206823 
5.2	5.03646687233	11.9957260405	12.8272677659 
5.21007827789	5.04120257732	12.0152597067	12.844333072 
5.3	5.21249541607	12.1895455253	12.996595367 
5.4	5.40592881671	12.3781582955	13.1419239195 
5.42534246575	5.45859472907	12.4265940679	13.1711614873 
5.5	5.50212601536	12.5692832353	13.2572937818 
5.6	5.57640892277	12.7649252078	13.359657908 
5.7	5.6610038289	12.9493386747	13.4708152086 
5.8	5.74434828831	13.103597391	13.6121195611 
5.9	5.81664787555	13.2259698151	13.7839061147 
6.0	5.87062695914	13.3418895849	13.9736963837 
6.1	5.90815291375	13.4710916993	14.1968301116 
6.2	5.9347673213	13.607985502	14.454375077 
6.3	5.95840150312	13.752820297	14.7063663115 
6.4	5.98906578347	13.9097109614	14.9151399251 
6.5	6.0310359541	14.0739660557	15.0804935917 
6.50166340509	6.03186843547	14.0768052382	15.0829490237 
6.6	6.07058120783	14.2446510319	15.2281083898 
6.7	6.11596133991	14.4153860646	15.372439079 
6.8	6.16691472891	14.5864843561	15.5242732475 
6.9	6.21671740806	14.7633405409	15.7049677308 
7.0	6.26085506284	14.9360927788	15.9239076629 
7.1	6.2983853339	15.0964538544	16.1548236232 
7.2	6.33370407837	15.262084711	16.3657022101 
7.3	6.36948729322	15.4379896468	16.5412989355 
7.4	6.40521879329	15.6341235722	16.68333729 
7.5	6.44291404223	15.8470348071	16.8074429832 
7.6	6.48727858726	16.0555734077	16.9263298455 
7.7	6.53985424626	16.2449446259	17.0525522758 
7.79324853229	6.5893433237	16.3951679101	17.195518205 
7.8	6.59292647831	16.4060445173	17.2058693583 
7.9	6.63650946745	16.5382411949	17.3946801046 
8.0	6.66969759472	16.6651965243	17.6074338199 
8.1	6.69476516619	16.8148537129	17.8085813632 
8.2	6.71276859708	17.0003643419	17.9929613764 
8.3	6.73068670834	17.2101700148	18.1614454078 
8.4	6.75986883481	17.421187046	18.3228762817 
8.5	6.81053979692	17.6159898798	18.4684898308 
8.6	6.88753488299	17.7912718049	18.5929264027 
8.7	6.98541976837	17.9468522188	18.7025587817 
8.8	7.09567367164	18.0856830161	18.8021976216 
9.30009784736	7.29581732424	18.947458439	19.5795839559 
10.8069471624	7.66898690383	20.8885834754	21.8715285582 
12.3137964775	7.86974269033	22.7432364296	24.029885342 
14.681702544	7.98406664381	25.0479372665	26.4816333512 
15.9732876712	7.89752234257	25.8510683819	27.7068310111 
17.4801369863	7.75345054286	26.5610654673	28.8323283464 
18.5564579256	7.552019947	26.5610654673	29.2393413435 
20.0633072407	7.17806308981	26.5347810551	29.5261156491 
21.3548923679	6.71795557019	26.1818492303	29.5261156491 
